word,meaning,proposed_domain,confidence,reason
"at","在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 | 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素） | 密封的（airtight）；气温（air temperature） | prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 | n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素） | abbr. 密封的（airtight）；气温（air temperature） | prep.在（几点钟）；在（某处）","economy","0.2","keyword rule did not produce a confident match"
"if","（表条件）如果；即使；是否；（表假设）假如 | 条件；设想 | conj. （表条件）如果；即使；是否；（表假设）假如 | n. 条件；设想 | conj.如果,假使,是否,是不是","change","0.2","keyword rule did not produce a confident match"
"piece","块；件；篇；硬币 | 修补；接合；凑合 | n. 块；件；篇；硬币 | vt. 修补；接合；凑合 | n. 一块（片，张，件…）","relation","0.2","keyword rule did not produce a confident match"
"he","pron. 他 | 男孩，男人；它（雄性动物） | 他 | n. 男孩，男人；它（雄性动物）","expression","0.2","keyword rule did not produce a confident match"
"rat","鼠；卑鄙小人，叛徒 | 捕鼠；背叛，告密 | n. 鼠；卑鄙小人，叛徒 | vi. 捕鼠；背叛，告密 | n. 老鼠 | 鼠","change","0.2","keyword rule did not produce a confident match"
"brother","兄弟；同事；战友 | 我的老兄！ | n. 兄弟；同事；战友 | int. 我的老兄！ | n. 兄；弟","relation","0.2","keyword rule did not produce a confident match"
"geography","地理；地形 | n. 地理；地形 | n. 地理学","judgment","0.2","keyword rule did not produce a confident match"
"advise","建议；劝告，忠告；通知；警告 | vt. 建议；劝告，忠告；通知；警告 | vi. 建议；与…商量 | vt. 忠告，劝告，建议","cognition","0.2","keyword rule did not produce a confident match"
"print","印刷业；印花布；印刷字体；印章；印记 | 印刷；打印；刊载；用印刷体写；在…印花样 | n. 印刷业；印花布；印刷字体；印章；印记 | vt. 印刷；打印；刊载；用印刷体写；在…印花样 | vi. 印刷；出版；用印刷体写 | vt. 印刷","action","0.2","keyword rule did not produce a confident match"
"festival","节日；庆祝，纪念活动；欢乐 | 节日的，喜庆的；快乐的 | n. 节日；庆祝，纪念活动；欢乐 | adj. 节日的，喜庆的；快乐的 | a. 节日的，喜庆的 | 节日； 音乐节","time","0.2","keyword rule did not produce a confident match"
"along","一起；向前；来到 | 沿着；顺着 | prep. 沿着；顺着 | adv. 一起；向前；来到 | ad. 向前；和…一起；一同 prep. 沿着；顺着","expression","0.2","keyword rule did not produce a confident match"
"forest","n. 森林 | 植树于，使成为森林 | 森林 | vt. 植树于，使成为森林","quantity","0.2","keyword rule did not produce a confident match"
"apple","苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。 | n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。 | n. 苹果","relation","0.2","keyword rule did not produce a confident match"
"salad","色拉；尤指莴苣 | n. 色拉；尤指莴苣 | n. 色拉（西餐中的一种菜） | 色拉， 凉拌菜","expression","0.2","keyword rule did not produce a confident match"
"rabbit","兔子，野兔 | 让…见鬼去吧 | n. 兔子，野兔 | vt. 让…见鬼去吧 | vi. 猎兔 | n. 兔，家兔","control","0.2","keyword rule did not produce a confident match"
"we","我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人 | (We)人名；(缅)韦 | pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人 | pron. 我们","control","0.2","keyword rule did not produce a confident match"
"yours","你（们）的东西；你的责任[义务]；你的家属；来信，尊函 | 你（们）的（东西）；信末署名前用语 | pron. 你（们）的东西；你的责任；你的家属；来信，尊函 | adj. 你（们）的（东西）；信末署名前用语 | pron. 你的；你们的","relation","0.2","keyword rule did not produce a confident match"
"shop","商店；店铺 | 购物 | n. 商店；店铺 | vt. 购物 | vi. 购物；买东西 | vi. 买东西 n. 商店,车间","time","0.2","keyword rule did not produce a confident match"
"theirs","他们的；她们的；它们的 | pron. 他们的；她们的；它们的 | pron. 他（她,它）们的","state","0.2","keyword rule did not produce a confident match"
"wet","[气象][物] 潮湿的；有雨的 | 雨天；湿气 | 弄湿 | n. 雨天；湿气 | adj. 潮湿的；有雨的 | vt. 弄湿 | vi. 变湿 | a. 湿的,潮的,多雨的","cognition","0.2","keyword rule did not produce a confident match"
"shout","呼喊；喊叫；大声说 | 呼喊；呼叫 | n. 呼喊；呼叫 | vi. 呼喊；喊叫；大声说 | vt. 呼喊；大声说 | n.& v. 喊，高声呼喊","quantity","0.2","keyword rule did not produce a confident match"
"purse","(女士)手提袋；(国家、家庭、团体等的) 财力 | （嘴巴）皱起，使缩拢；撅嘴 | n. (女士)手提袋；(国家、家庭、团体等的) 财力 | vt. （嘴巴）皱起，使缩拢；撅嘴 | n. 钱包 | 钱包， 女用小提包","state","0.2","keyword rule did not produce a confident match"
"modern","现代的，近代的；时髦的 | 现代人；有思想的人 | adj. 现代的，近代的；时髦的 | n. 现代人；有思想的人 | a. 现代的","economy","0.2","keyword rule did not produce a confident match"
"blackboard","n. 黑板 | 黑板","economy","0.2","keyword rule did not produce a confident match"
"servant","仆人，佣人；公务员；雇工 | n. 仆人，佣人；公务员；雇工 | n. 仆人，佣人","change","0.2","keyword rule did not produce a confident match"
"hobby","嗜好；业余爱好 | n. 嗜好；业余爱好 | n. 业余爱好，嗜好 | 业余爱好， 癖好","control","0.2","keyword rule did not produce a confident match"
"winter","冬季；年岁；萧条期 | 过冬 | 冬天的；越冬的 | n. 冬季；年岁；萧条期 | adj. 冬天的；越冬的 | vi. 过冬 | n. 冬天，冬季","action","0.2","keyword rule did not produce a confident match"
"plant","工厂，车间；植物；设备；庄稼 | 种植；培养；栽培；安置 | n. 工厂，车间；植物；设备；庄稼 | vt. 种植；培养；栽培；安置 | vi. 种植 | vt. 种植，播种 n. 植物","change","0.2","keyword rule did not produce a confident match"
"huge","巨大的；庞大的；无限的 | (Huge)人名；(英)休奇 | adj. 巨大的；庞大的；无限的 | a. 巨大的，庞大的","action","0.2","keyword rule did not produce a confident match"
"tall","高的；长的；过分的；夸大的 | 夸大地 | (Tall)人名；(马里、阿拉伯)塔勒；(芬、罗、瑞典)塔尔；(英)托尔；(土)塔勒 | adj. 高的；长的；过分的；夸大的 | adv. 夸大地 | a. 高的","economy","0.2","keyword rule did not produce a confident match"
"rich","富有的；肥沃的；昂贵的 | (Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什 | adj. 富有的；肥沃的；昂贵的 | adj. 油腻的，含有很多脂肪 | a. 富裕的，有钱的","relation","0.2","keyword rule did not produce a confident match"
"please","使喜欢；使高兴，使满意 | 请（礼貌用语） | int. 请（礼貌用语） | vt. 使喜欢；使高兴，使满意 | vi. 讨人喜欢；令人高兴 | v. 请,使人高兴,使人满意","time","0.2","keyword rule did not produce a confident match"
"paint","油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等 | 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰 | vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等 | vi. 油漆；描绘；绘画；化妆 | n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰 | n.油漆 vt.油漆,粉刷,绘画","cognition","0.2","keyword rule did not produce a confident match"
"already","已经，早已；先前 | adv. 已经，早已；先前 | ad. 已经","judgment","0.2","keyword rule did not produce a confident match"
"brave","勇敢的；华丽的 | 勇敢地面对 | 勇士 | n. 勇士 | adj. 勇敢的；华丽的 | vt. 勇敢地面对 | a. 勇敢的 | 勇敢的； 华丽的","cognition","0.2","keyword rule did not produce a confident match"
"continue","继续，延续；仍旧，连续 | vt. 继续说…；使…继续；使…延长 | vi. 继续，延续；仍旧，连续 | vi. 继续","action","0.2","keyword rule did not produce a confident match"
"cat","猫，猫科动物 | n. 猫，猫科动物 | n. 猫 ","cognition","0.2","keyword rule did not produce a confident match"
"discover","发现；发觉 | vi. 发现 | vt. 发现；发觉 | vt. 发现","quantity","0.2","keyword rule did not produce a confident match"
"coke","焦炭；可卡因；可口可乐（Coca-Cola） | 焦化 | n. 可口可乐","time","0.2","keyword rule did not produce a confident match"
"turn","转动，使旋转；转弯；翻过来；兑换 | 转弯；变化；(损害或有益于别人的)行为，举动，举止 | n. 转弯；变化；(损害或有益于别人的)行为，举动，举止 | vi. 转向；转变；转动 | vt. 转动，使旋转；转弯；翻过来；兑换 | v. 旋转，翻转，转变，转弯 n. 轮流，（轮流的）顺序","expression","0.2","keyword rule did not produce a confident match"
"steam","蒸，散发；用蒸汽处理 | 蒸汽；精力 | 蒸汽的 | n. 汽，水蒸气","time","0.2","keyword rule did not produce a confident match"
"video","[电子] 视频；录像，录像机；电视 | 视频的；录像的；电视的 | 录制 | n. 录像，视频 | 录像的；电视的 | 录像","state","0.2","keyword rule did not produce a confident match"
"stupid","愚蠢的；麻木的；乏味的 | 傻瓜，笨蛋 | n. 傻瓜，笨蛋 | adj. 愚蠢的；麻木的；乏味的 | a. 愚蠢的，笨的","action","0.2","keyword rule did not produce a confident match"
"anything","任何事 | pron. 任何事 | pron. 什么事（物）；任何事（物）","relation","0.2","keyword rule did not produce a confident match"
"conversation","交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话 | n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话 | n. 谈话，交谈","quantity","0.2","keyword rule did not produce a confident match"
"part","部分；角色；零件；一些；片段 | 分离；分配；分开 | 部分地 | 部分的 | n. 部分；角色；零件；一些；片段 | adj. 部分的 | vt. 分离；分配；分开 | adv. 部分地 | vi. 断裂；分手 | n. 部分；成分；角色；部件；零件 a. 局部的；部分的 v. 分离；分开；分割","state","0.2","keyword rule did not produce a confident match"
"asleep","睡着的；麻木的；长眠的 | 熟睡地；进入睡眠状态 | adj. 睡着的；麻木的；长眠的 | adv. 熟睡地；进入睡眠状态 | a. 睡着的，熟睡","time","0.2","keyword rule did not produce a confident match"
"peace","和平；平静；和睦；秩序 | n. 和平；平静；和睦；秩序 | n. 和平","judgment","0.2","keyword rule did not produce a confident match"
"single","单一的；单身的；单程的 | 一个；单打；单程票 | 选出 | a. 单一的，单个的 | 单一的；独身的；单程的 | 单程票；","judgment","0.2","keyword rule did not produce a confident match"
"prove","证明；检验；显示 | vi. 证明是 | vt. 证明；检验；显示 | vt. 证明 | 证实， 证明； 结果是","control","0.2","keyword rule did not produce a confident match"
"walk","步行，走；散步 | 散步；走过 | n. 步行，走；散步 | vi. 走，步行；散步 | vt. 散步；走过 | n.& v. 步行；散步","quantity","0.2","keyword rule did not produce a confident match"
"search","搜寻；调查；探求 | 搜寻；探究，查究 | n. 搜寻；探究，查究 | vt. 搜索；搜寻；调查；搜查；探求 | vi. 搜寻；调查；探求 | n.& v. 搜寻，搜查","judgment","0.2","keyword rule did not produce a confident match"
"cotton","棉花；棉布；棉线 | 一致；理解；和谐；亲近 | 棉的；棉制的 | n. 棉花；棉布；棉线 | adj. 棉的；棉制的 | vi. 一致；理解；和谐；亲近 | n. 棉花 a. 棉花的","change","0.2","keyword rule did not produce a confident match"
"stomach","胃；腹部；胃口 | 忍受；吃下 | n. 胃；腹部；胃口 | vt. 忍受；吃下 | vi. 忍受 | n. 胃，胃部","state","0.2","keyword rule did not produce a confident match"
"common","共同的；普通的；一般的；通常的 | 普通；平民；公有地 | n. 普通；平民；公有地 | adj. 共同的；普通的；一般的；通常的 | a. 普通，一般；共有的","expression","0.2","keyword rule did not produce a confident match"
"cry","叫喊；哭出；大声说 | 叫喊；叫声；口号；呼叫 | n. 叫喊；叫声；口号；呼叫 | vi. 哭；叫；喊 | vt. 叫喊；哭出；大声说 | n. 叫喊；哭声 v. 喊叫；哭","time","0.2","keyword rule did not produce a confident match"
"hometown","家乡；故乡 | n. 家乡；故乡 | n. 故乡","action","0.2","keyword rule did not produce a confident match"
"standard","标准；水准；旗；度量衡标准 | 标准的；合规格的；公认为优秀的 | 标准的 | n. 标准；水准；旗；度量衡标准 | adj. 标准的；合规格的；公认为优秀的 | n. & a. 标准（的）","economy","0.2","keyword rule did not produce a confident match"
"snowy","下雪的，多雪的；被雪覆盖的；洁白无瑕的 | adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的 | a. 雪(白)的；下雪的；多(积)雪的","cognition","0.2","keyword rule did not produce a confident match"
"seat","座位；所在地；职位 | 使…坐下；可容纳…的；使就职 | n. 座位；所在地；职位 | vt. 使…坐下；可容纳…的；使就职 | n. 座位，座","economy","0.2","keyword rule did not produce a confident match"
"drum","击鼓；大力争取 | 鼓；鼓声 | n. 鼓；鼓声 | vi. 击鼓；大力争取 | vt. 击鼓；大力争取 | n. 鼓 | 有节奏地敲击 | 鼓，鼓状物；圆桶","society","0.2","keyword rule did not produce a confident match"
"capital","首都，省会；资金；大写字母；资本家 | 首都的；重要的；大写的 | n. 首都，省会；资金；大写字母；资本家 | adj. 首都的；重要的；大写的 | n.首都.省会.大写；资本","relation","0.2","keyword rule did not produce a confident match"
"officer","军官，警官；公务员，政府官员；船长 | 指挥 | n. 军官，警官；公务员，政府官员；船长 | vt. 指挥 | n. 军官；公务员,官员；警察，警官","relation","0.2","keyword rule did not produce a confident match"
"skirt","裙子 | 绕过，回避；位于…边缘 | n. 裙子 | vt. 绕过，回避；位于…边缘 | vi. 沿边走，绕开；环绕 | n. 女裙","action","0.2","keyword rule did not produce a confident match"
"ship","运送，乘船；以船运送 | 船；舰；太空船 | n. 船；舰；太空船 | vt. 运送，乘船；以船运送 | vi. 上船；乘船旅行；当船员 | n. 船，轮船 vi. 用船装运","control","0.2","keyword rule did not produce a confident match"
"song","歌曲；歌唱；诗歌；鸣声 | n. 歌曲；歌唱；诗歌；鸣声 | n. 歌唱；歌曲","state","0.2","keyword rule did not produce a confident match"
"special","特使，特派人员；特刊；特色菜；专车；特价商品 | 特别的；专门的，专用的 | n. 特使，特派人员；特刊；特色菜；专车；特价商品 | adj. 特别的；专门的，专用的 | a. 特别的，专门的","action","0.2","keyword rule did not produce a confident match"
"rope","绳，绳索 | 捆，绑 | n. 绳，绳索 | vt. 捆，绑 | vi. 拧成绳状 | n. 绳，索 | 绳，索 | 用绳捆","judgment","0.2","keyword rule did not produce a confident match"
"collect","收集；募捐 | 由收件人付款地 | 由收件人付款的 | (Collect)人名；(英)科莱克特 | vt. 收集；募捐 | adj. 由收件人付款的 | vi. 收集；聚集；募捐 | adv. 由收件人付款地 | vt. 收集，搜集","time","0.2","keyword rule did not produce a confident match"
"concert","音乐会；一致；和谐 | 使协调；协同安排 | 音乐会用的；在音乐会上演出的 | n. 音乐会；一致；和谐 | adj. 音乐会用的；在音乐会上演出的 | vt. 使协调；协同安排 | vi. 协调；协力 | n. 音乐会；演奏会","judgment","0.2","keyword rule did not produce a confident match"
"fox","欺骗；使变酸 | 狐狸；狡猾的人 | n. 狐狸；狡猾的人 | vt. 欺骗；使变酸 | vi. 假装；耍狡猾手段 | n. 狐狸","economy","0.2","keyword rule did not produce a confident match"
"centre","以…为中心 | 中心 | 中央的 | n. 中心 | adj. 中央的 | vt. 集中；将…放在中央 | vi. 以…为中心 | n. 中心，中央(英)","action","0.2","keyword rule did not produce a confident match"
"pupil","学生；[解剖] 瞳孔；未成年人 | n. 学生； 瞳孔；未成年人 | n. （小）学生","relation","0.2","keyword rule did not produce a confident match"
"hardly","几乎不，简直不；刚刚 | adv. 几乎不，简直不；刚刚 | ad. 几乎不","society","0.2","keyword rule did not produce a confident match"
"cake","蛋糕；块状物；利益总额 | 使结块 | n. 蛋糕；块状物；利益总额 | vt. 使结块 | vi. 结成块状 | n. 蛋糕，糕点；饼","society","0.2","keyword rule did not produce a confident match"
"popular","流行的，通俗的；受欢迎的；大众的；普及的 | adj. 流行的，通俗的；受欢迎的；大众的；普及的 | a. 流行,大众,受欢迎的","change","0.2","keyword rule did not produce a confident match"
"cheat","欺骗；骗取 | 欺骗，作弊；骗子 | n. 欺骗，作弊；骗子 | vt. 欺骗；骗取 | vi. 欺骗；作弊 | n. & v. 骗取，哄骗；作弊 | 欺骗；作弊；哄，行骗 | 欺骗， 欺骗行为； 骗子","expression","0.2","keyword rule did not produce a confident match"
"driver","驾驶员；驱动程序；起子；传动器 | n. 驾驶员；驱动程序；起子；传动器 | n. 司机，驾驶员","control","0.2","keyword rule did not produce a confident match"
"butter","涂黄油于；讨好 | 黄油；奶油；奉承话 | n. 黄油；奶油；奉承话 | vt. 涂黄油于；讨好 | n. 黄油，奶油","relation","0.2","keyword rule did not produce a confident match"
"fan","煽动；刺激；吹拂 | 迷；风扇；爱好者 | n. 迷；风扇；爱好者 | vt. 煽动；刺激；吹拂 | vi. 成扇形散开；飘动 | n. （电影、运动等的）迷；热心的爱好者（支持者） n. 风扇","economy","0.2","keyword rule did not produce a confident match"
"height","高地；高度；身高；顶点 | n. 高地；高度；身高；顶点 | n. 高，高度","economy","0.2","keyword rule did not produce a confident match"
"europe","欧洲 | n. 欧洲","society","0.2","keyword rule did not produce a confident match"
"rusia","鲁西亚（地名）","society","0.2","keyword rule did not produce a confident match"
"kid","小孩；小山羊 | 欺骗；取笑；戏弄 | 小山羊皮制的；较年幼的 | n. 小孩；小山羊 | vt. 欺骗；取笑；戏弄 | vi. 欺骗；取笑；戏弄 | adj. 小山羊皮制的；较年幼的 | n. 小孩 | 戏弄， 开玩笑 | 小孩；年轻人","cognition","0.2","keyword rule did not produce a confident match"
"where","在哪里 | 哪里 | 在…的地方 | 地点 | conj. 在…的地方 | n. 地点 | adv. 在哪里 | pron. 哪里 | ad. 在哪里；往哪里","quantity","0.2","keyword rule did not produce a confident match"
"slow","慢的；减速的；迟钝的 | 变慢；变萧条 | 慢慢地；迟缓地 | (Slow)人名；(英)斯洛 | adj. 慢的；减速的；迟钝的 | vt. 放慢；阻碍 | vi. 变慢；变萧条 | adv. 慢慢地；迟缓地 | ad. 慢慢地，缓慢地","economy","0.2","keyword rule did not produce a confident match"
"any","任何的；所有的；丝毫 | 任何；任何一个；若干 | 稍微；少许 | (Any)人名；(法、罗)阿尼 | adj. 任何的；所有的；丝毫 | pron. 任何；任何一个；若干 | adv. 稍微；少许 | pron. （无论）哪一个；哪些 任何的；（用于疑问句、否定句）一些；什么","control","0.2","keyword rule did not produce a confident match"
