word,meanings,meaningsByBook,usphone,ukphone,bookIds,semanticDomainId,semanticPath,semanticConfidence,reviewRequired
"cancel","取消；删去 | 取消，撤销 | vi. 取消，撤销 | vt. 取消；删去 | vi. 取消；相互抵消 | n. 取消，撤销 | vt. 取消 | 取消， 撤销； 删去 | 取消， 撤销， 删去 (vt.)","{""chuzhong"":[""取消；删去"",""取消，撤销""],""zhongkao"":[""vi. 取消，撤销"",""vt. 取消；删去"",""vi. 取消；相互抵消"",""n. 取消，撤销""],""gaokao"":[""vt. 取消""],""cet4"":[""取消， 撤销； 删去""],""cet6"":[""取消， 撤销， 删去 (vt.)""],""ielts"":[""取消， 废除； 抵消， 对消； 删去， 划掉""],""toefl"":[""取消， 废除； 删去， 删除； 抵消""],""bec2"":[""取消；删去"",""取消，撤销""]}","'kænsl","'kæns(ə)l","chuzhong | zhongkao | gaokao | cet4 | cet6 | ielts | toefl | bec2","relation","因果与关系 › 原因·结果·连接 › cancel","0.2","true"
"map","映射；计划；绘制地图；确定基因在染色体中的位置 | 地图；示意图；染色体图 | vt. 映射；计划；绘制地图；确定基因在染色体中的位置 | n. 地图；示意图；染色体图 | vi. 基因被安置 | n. 地图","{""chuzhong"":[""映射；计划；绘制地图；确定基因在染色体中的位置"",""地图；示意图；染色体图""],""zhongkao"":[""vt. 映射；计划；绘制地图；确定基因在染色体中的位置"",""n. 地图；示意图；染色体图"",""vi. 基因被安置""],""gaokao"":[""n. 地图""]}","mæp","mæp","chuzhong | zhongkao | gaokao","judgment","判断与评价 › 判断·价值·评价 › map","0.2","true"
"grandparent","祖父母；祖父或祖母；外祖父母；外祖父或外祖母 | n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母","{""chuzhong"":[""祖父母；祖父或祖母；外祖父母；外祖父或外祖母""],""zhongkao"":[""n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母""]}","'græn'pɛrənt","'græn(d)peər(ə)nt","chuzhong | zhongkao","time","时间与过程 › 时间·顺序·过程 › grandparent","0.2","true"
"moon","月亮；月球；月光；卫星 | 闲荡；出神 | n. 月亮；月球；月光；卫星 | vi. 闲荡；出神 | vt. 虚度 | n. 月球；月光；月状物","{""chuzhong"":[""月亮；月球；月光；卫星"",""闲荡；出神""],""zhongkao"":[""n. 月亮；月球；月光；卫星"",""vi. 闲荡；出神"",""vt. 虚度""],""gaokao"":[""n. 月球；月光；月状物""]}","mun","muːn","chuzhong | zhongkao | gaokao","economy","经济与资源 › 经济·工作·资源 › moon","0.2","true"
"be","是； 有，存在； 做，成为； 发生 | (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝 | vt. 是； 有，存在； 做，成为； 发生 | v. 是（原形）,其人称和时态形式有(am, is, are, was, were, being, been)；成为","{""chuzhong"":[""是； 有，存在； 做，成为； 发生"",""(Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝""],""zhongkao"":[""vt. 是； 有，存在； 做，成为； 发生""],""gaokao"":[""v. 是（原形）,其人称和时态形式有(am, is, are, was, were, being, been)；成为""]}","bi","biː","chuzhong | zhongkao | gaokao","state","状态与存在 › 状态·属性·存在 › be","0.2","true"
"america","美洲（包括北美和南美洲）；美国 | n. 美洲（包括北美和南美洲）；美国 | * n. 美国；美洲","{""chuzhong"":[""美洲（包括北美和南美洲）；美国""],""zhongkao"":[""n. 美洲（包括北美和南美洲）；美国""],""gaokao"":[""* n. 美国；美洲""]}","əˈmɛrɪkə","ə'merɪkə","chuzhong | zhongkao | gaokao","relation","因果与关系 › 原因·结果·连接 › america","0.2","true"
"need","需要，要求；缺乏；必要之物 | 需要 | n. 需要，要求；缺乏；必要之物 | vt. 需要 | vi. 需要 | n. 需要,需求aux.& v.需要,必须","{""chuzhong"":[""需要，要求；缺乏；必要之物"",""需要""],""zhongkao"":[""n. 需要，要求；缺乏；必要之物"",""vt. 需要"",""vi. 需要""],""gaokao"":[""n. 需要,需求aux.& v.需要,必须""]}","nid","niːd","chuzhong | zhongkao | gaokao","control","控制与影响 › 控制·管理·影响 › need","0.2","true"
"new","新的，新鲜的；更新的；初见的 | 新近 | (New)人名；(英)纽 | adj. 新的，新鲜的；更新的；初见的 | adv. 新近 | a. 新的；新鲜的","{""chuzhong"":[""新的，新鲜的；更新的；初见的"",""新近"",""(New)人名；(英)纽""],""zhongkao"":[""adj. 新的，新鲜的；更新的；初见的"",""adv. 新近""],""gaokao"":[""a. 新的；新鲜的""]}","nu","njuː","chuzhong | zhongkao | gaokao","judgment","判断与评价 › 判断·价值·评价 › new","0.2","true"
"stamp","邮票；印记；标志；跺脚 | 铭记；标出；盖章于…；贴邮票于…；用脚踩踏 | n. 邮票；印记；标志；跺脚 | vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏 | vi. 跺脚；捣碎；毁掉 | n. 邮票","{""chuzhong"":[""邮票；印记；标志；跺脚"",""铭记；标出；盖章于…；贴邮票于…；用脚踩踏""],""zhongkao"":[""n. 邮票；印记；标志；跺脚"",""vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏"",""vi. 跺脚；捣碎；毁掉""],""gaokao"":[""n. 邮票""],""ielts"":[""跺，重踏；在…上盖；""]}","stæmp","stæmp","chuzhong | zhongkao | gaokao | ielts","economy","经济与资源 › 经济·工作·资源 › stamp","0.2","true"
"without","没有；超过；在…外面 | 户外；在外面；没有或不显示某事物 | 外部；外面 | prep. 没有；超过；在…外面 | n. 外部；外面 | adv. 户外；在外面；没有或不显示某事物 | prep. 没有","{""chuzhong"":[""没有；超过；在…外面"",""户外；在外面；没有或不显示某事物"",""外部；外面""],""zhongkao"":[""prep. 没有；超过；在…外面"",""n. 外部；外面"",""adv. 户外；在外面；没有或不显示某事物""],""gaokao"":[""prep. 没有""]}","wɪðˈaʊt","wɪˈðaʊt","chuzhong | zhongkao | gaokao","society","社会与个体 › 社会·群体·个体 › without","0.2","true"
"quick","核心；伤口的嫩肉 | 快的；迅速的，敏捷的；灵敏的 | 迅速地，快 | n. 核心；伤口的嫩肉 | adj. 快的；迅速的，敏捷的；灵敏的 | adv. 迅速地，快 | a. 快；敏捷的；急剧的 ad. 快地；敏捷地；急剧地","{""chuzhong"":[""核心；伤口的嫩肉"",""快的；迅速的，敏捷的；灵敏的"",""迅速地，快""],""zhongkao"":[""n. 核心；伤口的嫩肉"",""adj. 快的；迅速的，敏捷的；灵敏的"",""adv. 迅速地，快""],""gaokao"":[""a. 快；敏捷的；急剧的 ad. 快地；敏捷地；急剧地""],""tem4"":[""核心；伤口的嫩肉"",""快的；迅速的，敏捷的；灵敏的"",""迅速地，快""],""bec2"":[""核心；伤口的嫩肉"",""快的；迅速的，敏捷的；灵敏的"",""迅速地，快""]}","kwɪk","kwɪk","chuzhong | zhongkao | gaokao | tem4 | bec2","expression","表达与观点 › 语言·观点·交流 › quick","0.2","true"
"joke","玩笑，笑话；笑柄 | 开…的玩笑 | n. 玩笑，笑话；笑柄 | vt. 开…的玩笑 | vi. 开玩笑 | n. 笑话","{""chuzhong"":[""玩笑，笑话；笑柄"",""开…的玩笑""],""zhongkao"":[""n. 玩笑，笑话；笑柄"",""vt. 开…的玩笑"",""vi. 开玩笑""],""gaokao"":[""n. 笑话""],""bec2"":[""玩笑，笑话；笑柄"",""开…的玩笑""]}","dʒok","dʒəʊk","chuzhong | zhongkao | gaokao | bec2","action","行动与选择 › 行动·选择·执行 › joke","0.2","true"
"table","桌子；表格；平地层 | 制表；搁置；嵌合 | 桌子的 | n. 桌子；表格；平地层 | vt. 制表；搁置；嵌合 | adj. 桌子的 | n. 桌子，表格","{""chuzhong"":[""桌子；表格；平地层"",""制表；搁置；嵌合"",""桌子的""],""zhongkao"":[""n. 桌子；表格；平地层"",""vt. 制表；搁置；嵌合"",""adj. 桌子的""],""gaokao"":[""n. 桌子，表格""],""sat"":[""搁置； 把…列入议事日程"",""桌子，台子；一桌人；表格""],""bec2"":[""桌子；表格；平地层"",""制表；搁置；嵌合"",""桌子的""]}","'tebl","'teɪb(ə)l","chuzhong | zhongkao | gaokao | sat | bec2","control","控制与影响 › 控制·管理·影响 › table","0.2","true"
"its","pron. 它的 | 它的 | (Its)人名；(俄)伊茨","{""chuzhong"":[""它的"",""(Its)人名；(俄)伊茨""],""zhongkao"":[""pron. 它的""],""gaokao"":[""pron. 它的""]}","ɪts","ɪts","chuzhong | zhongkao | gaokao","cognition","认知与思维 › 感知·理解·记忆 › its","0.2","true"
"check","检查，核对；制止，抑制；在…上打勾 | <美>支票；制止，抑制；检验，核对 | n. <美>支票；制止，抑制；检验，核对 | vi. 核实，查核；中止；打勾；将一军 | vt. 检查，核对；制止，抑制；在…上打勾 | n. 检查；批改 vt. 校对，核对； 检查；批改","{""chuzhong"":[""检查，核对；制止，抑制；在…上打勾"",""<美>支票；制止，抑制；检验，核对""],""zhongkao"":[""n. <美>支票；制止，抑制；检验，核对"",""vi. 核实，查核；中止；打勾；将一军"",""vt. 检查，核对；制止，抑制；在…上打勾""],""gaokao"":[""n. 检查；批改 vt. 校对，核对； 检查；批改""],""kaoyan2024"":[""n.<美>支票；制止，抑制；检验，核对vi.核实，查核；中止；打勾；将一军vt.检查，核对；制止，抑制；在…上打勾""],""ielts"":[""检查，核对；阻止，""],""toefl"":[""支票；账单；""],""gre1500"":[""v.使突然停止，阻止"",""使突然停止，阻止：arrest, abruptly； 同意，一致：agreement""],""gre3000"":[""使突然停止，阻止；同意，一致""],""bec2"":[""检查，核对；制止，抑制；在…上打勾"",""<美>支票；制止，抑制；检验，核对""]}","tʃɛk","tʃek","chuzhong | zhongkao | gaokao | kaoyan2024 | ielts | toefl | gre1500 | gre3000 | bec2","judgment","判断与评价 › 判断·价值·评价 › check","0.2","true"
"giraffe","长颈鹿 | n. 长颈鹿","{""chuzhong"":[""长颈鹿""],""zhongkao"":[""n. 长颈鹿""],""gaokao"":[""n. 长颈鹿""],""toefl"":[""长颈鹿""],""sat"":[""长颈鹿""]}","dʒə'ræf","dʒə'rɑ:f","chuzhong | zhongkao | gaokao | toefl | sat","control","控制与影响 › 控制·管理·影响 › giraffe","0.2","true"
"picture","照片，图画；影片；景色；化身 | 画；想像；描写 | n. 照片，图画；影片；景色；化身 | vt. 画；想像；描写 | n. 图片，画片，照片","{""chuzhong"":[""照片，图画；影片；景色；化身"",""画；想像；描写""],""zhongkao"":[""n. 照片，图画；影片；景色；化身"",""vt. 画；想像；描写""],""gaokao"":[""n. 图片，画片，照片""]}","'pɪktʃɚ","'pɪktʃə","chuzhong | zhongkao | gaokao","society","社会与个体 › 社会·群体·个体 › picture","0.2","true"
"kiss","吻；（风等）轻拂 | 吻；轻拂 | vt. 吻；（风等）轻拂 | vi. 接吻；（风等）轻触 | n. 吻；轻拂 | n.& vt. 吻，亲吻","{""chuzhong"":[""吻；（风等）轻拂"",""吻；轻拂""],""zhongkao"":[""vt. 吻；（风等）轻拂"",""vi. 接吻；（风等）轻触"",""n. 吻；轻拂""],""gaokao"":[""n.& vt. 吻，亲吻""]}","kɪs","kɪs","chuzhong | zhongkao | gaokao","time","时间与过程 › 时间·顺序·过程 › kiss","0.2","true"
"several","几个的；各自的 | 几个；数个 | adj. 几个的；各自的 | pron. 几个；数个 | pron. 几个,数个 a.若干","{""chuzhong"":[""几个的；各自的"",""几个；数个""],""zhongkao"":[""adj. 几个的；各自的"",""pron. 几个；数个""],""gaokao"":[""pron. 几个,数个 a.若干""]}","ˈsevrəl","ˈsevrəl","chuzhong | zhongkao | gaokao","time","时间与过程 › 时间·顺序·过程 › several","0.2","true"
"monitor","监视器；监听器；监控器；显示屏；班长 | 监控 | n. 监视器；监听器；监控器；显示屏；班长 | vt. 监控 | n. （班级内的）班长；纠察生；监视器 | 班长；监视器，检测器；显示器 | 监听； 检测 | 班长；监视器，检测器；显示器 (n.) | 监听， 检测 (vt.)","{""chuzhong"":[""监视器；监听器；监控器；显示屏；班长"",""监控""],""zhongkao"":[""n. 监视器；监听器；监控器；显示屏；班长"",""vt. 监控""],""gaokao"":[""n. （班级内的）班长；纠察生；监视器""],""cet4"":[""班长；监视器，检测器；显示器"",""监听； 检测""],""cet6"":[""班长；监视器，检测器；显示器 (n.)"",""监听， 检测 (vt.)""],""kaoyan2024"":[""n.监视器；监听器；监控器；显示屏；班长vt.监控""],""ielts"":[""班长；监视器"",""监视； 监测""],""toefl"":[""监控；调节"",""显示器； 监视器； 班长""],""bec2"":[""监视器；监听器；监控器；显示屏；班长"",""监控""]}","'mɔnɪtɚ","'mɒnɪtə","chuzhong | zhongkao | gaokao | cet4 | cet6 | kaoyan2024 | ielts | toefl | bec2","society","社会与个体 › 社会·群体·个体 › monitor","0.2","true"
"culture","文化，文明；修养；栽培 | [细胞][微] 培养（等于cultivate） | n. 文化，文明；修养；栽培 | vt. 培养（等于cultivate） | n. 文化 | 文化， 文明； 教养； 培养； 培养菌 | 文化， 文明； 教养； 培养； 培养菌 (n.)","{""chuzhong"":[""文化，文明；修养；栽培"",""[细胞][微] 培养（等于cultivate）""],""zhongkao"":[""n. 文化，文明；修养；栽培"",""vt. 培养（等于cultivate）""],""gaokao"":[""n. 文化""],""cet4"":[""文化， 文明； 教养； 培养； 培养菌""],""cet6"":[""文化， 文明； 教养； 培养； 培养菌 (n.)""],""kaoyan2024"":[""n. 文化，文明；修养；栽培vt. 培养（等于cultivate）""],""bec2"":[""文化，文明；修养；栽培"",""[细胞][微] 培养（等于cultivate）""]}","'kʌltʃɚ","'kʌltʃə","chuzhong | zhongkao | gaokao | cet4 | cet6 | kaoyan2024 | bec2","control","控制与影响 › 控制·管理·影响 › culture","0.2","true"
"taxi","n. 出租汽车 | 乘出租车；滑行 | 出租汽车 | vt. 使滑行；用出租车送 | vi. 乘出租车；滑行","{""chuzhong"":[""乘出租车；滑行"",""出租汽车""],""zhongkao"":[""n. 出租汽车"",""vt. 使滑行；用出租车送"",""vi. 乘出租车；滑行""],""gaokao"":[""n. 出租汽车""]}","'tæksi","'tæksɪ","chuzhong | zhongkao | gaokao","judgment","判断与评价 › 判断·价值·评价 › taxi","0.2","true"
"health","健康；卫生；保健；兴旺 | n. 健康；卫生；保健；兴旺 | n. 健康，卫生","{""chuzhong"":[""健康；卫生；保健；兴旺""],""zhongkao"":[""n. 健康；卫生；保健；兴旺""],""gaokao"":[""n. 健康，卫生""],""tem4"":[""健康；卫生；保健；兴旺""],""kaoyan2024"":[""n. 健康；卫生；保健；兴旺""],""bec2"":[""健康；卫生；保健；兴旺""]}","hɛlθ","helθ","chuzhong | zhongkao | gaokao | tem4 | kaoyan2024 | bec2","judgment","判断与评价 › 判断·价值·评价 › health","0.2","true"
"dialogue","对话；意见交换 | 对话 | 用对话表达 | n. 对话；意见交换 | vt. 用对话表达 | vi. 对话 | n. 对话【英】","{""chuzhong"":[""对话；意见交换"",""对话"",""用对话表达""],""zhongkao"":[""n. 对话；意见交换"",""vt. 用对话表达"",""vi. 对话""],""gaokao"":[""n. 对话【英】""]}","'daɪəlɑɡ","'daɪəlɒg","chuzhong | zhongkao | gaokao","relation","因果与关系 › 原因·结果·连接 › dialogue","0.2","true"
"recent","最近的；近代的 | adj. 最近的；近代的 | a. 近来的，最近的","{""chuzhong"":[""最近的；近代的""],""zhongkao"":[""adj. 最近的；近代的""],""gaokao"":[""a. 近来的，最近的""],""bec2"":[""最近的；近代的""]}","'risnt","'riːs(ə)nt","chuzhong | zhongkao | gaokao | bec2","action","行动与选择 › 行动·选择·执行 › recent","0.2","true"
"ten","十个，十 | (Ten)人名；(英)坦恩；(意)泰恩；(柬)登 | num. 十个，十 | num. 十","{""chuzhong"":[""十个，十"",""(Ten)人名；(英)坦恩；(意)泰恩；(柬)登""],""zhongkao"":[""num. 十个，十""],""gaokao"":[""num. 十""]}","tɛn","ten","chuzhong | zhongkao | gaokao","change","变化与发展 › 变化·增长·演进 › ten","0.2","true"
"blue","蓝色的；沮丧的，忧郁的；下流的 | 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于 | 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌） | adj. 蓝色的；沮丧的，忧郁的；下流的 | n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌 | vi. 变成蓝色，呈蓝色 | vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于 | n. 蓝色 a.蓝色的 a. 悲伤的；沮丧的","{""chuzhong"":[""蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌）"",""蓝色的；沮丧的，忧郁的；下流的"",""把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于""],""zhongkao"":[""adj. 蓝色的；沮丧的，忧郁的；下流的"",""n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌"",""vi. 变成蓝色，呈蓝色"",""vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于""],""gaokao"":[""n. 蓝色 a.蓝色的 a. 悲伤的；沮丧的""],""bec2"":[""蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌"",""蓝色的；沮丧的，忧郁的；下流的"",""把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于""]}","blu","bluː","chuzhong | zhongkao | gaokao | bec2","control","控制与影响 › 控制·管理·影响 › blue","0.2","true"
"dark","黑暗的，深色的；模糊的；无知的；忧郁的 | 黑暗；夜；黄昏；模糊 | n. 黑暗；夜；黄昏；模糊 | adj. 黑暗的，深色的；模糊的；无知的；忧郁的 | n. 黑暗；暗处；日暮 a. 黑暗的；暗淡的；深色的","{""chuzhong"":[""黑暗的，深色的；模糊的；无知的；忧郁的"",""黑暗；夜；黄昏；模糊""],""zhongkao"":[""n. 黑暗；夜；黄昏；模糊"",""adj. 黑暗的，深色的；模糊的；无知的；忧郁的""],""gaokao"":[""n. 黑暗；暗处；日暮 a. 黑暗的；暗淡的；深色的""]}","dɑrk","dɑːk","chuzhong | zhongkao | gaokao","time","时间与过程 › 时间·顺序·过程 › dark","0.2","true"
"order","命令；顺序；规则；[贸易] 定单 | 命令；整理；定购 | n. 命令；顺序；规则； 定单 | vt. 命令；整理；定购 | vi. 命令；定货 | n. 顺序","{""chuzhong"":[""命令；顺序；规则；[贸易] 定单"",""命令；整理；定购""],""zhongkao"":[""n. 命令；顺序；规则； 定单"",""vt. 命令；整理；定购"",""vi. 命令；定货""],""gaokao"":[""n. 顺序""],""tem4"":[""命令；顺序；规则；[贸易] 定单"",""命令；整理；定购""],""kaoyan2024"":[""n. 命令；顺序；规则； 定单vt. 命令；整理；定购vi. 命令；定货""],""sat"":[""顺序； 订单""],""bec2"":[""命令；顺序；规则；[贸易] 定单"",""命令；整理；定购""]}","'ɔrdɚ","'ɔːdə","chuzhong | zhongkao | gaokao | tem4 | kaoyan2024 | sat | bec2","cognition","认知与思维 › 感知·理解·记忆 › order","0.2","true"
"egg","蛋；卵子；家伙；鸡蛋 | 煽动；怂恿 | n. 蛋；卵子；家伙；鸡蛋 | vt. 煽动；怂恿 | n. 蛋；卵","{""chuzhong"":[""蛋；卵子；家伙；鸡蛋"",""煽动；怂恿""],""zhongkao"":[""n. 蛋；卵子；家伙；鸡蛋"",""vt. 煽动；怂恿""],""gaokao"":[""n. 蛋；卵""]}","ɛɡ","eg","chuzhong | zhongkao | gaokao","state","状态与存在 › 状态·属性·存在 › egg","0.2","true"
"feeling","感觉，触觉；感情，情绪；同情 | 有感觉的；有同情心的；富于感情的 | 感觉；认为（feel的现在分词）；触摸 | n. 感觉，触觉；感情，情绪；同情 | v. 感觉；认为（feel的现在分词）；触摸 | adj. 有感觉的；有同情心的；富于感情的 | n. 感情；感觉","{""chuzhong"":[""感觉，触觉；感情，情绪；同情"",""有感觉的；有同情心的；富于感情的"",""感觉；认为（feel的现在分词）；触摸""],""zhongkao"":[""n. 感觉，触觉；感情，情绪；同情"",""v. 感觉；认为（feel的现在分词）；触摸"",""adj. 有感觉的；有同情心的；富于感情的""],""gaokao"":[""n. 感情；感觉""]}","'filɪŋ","'fiːlɪŋ","chuzhong | zhongkao | gaokao","time","时间与过程 › 时间·顺序·过程 › feeling","0.2","true"
"at","在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 | 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素） | 密封的（airtight）；气温（air temperature） | prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 | n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素） | abbr. 密封的（airtight）；气温（air temperature） | prep.在（几点钟）；在（某处）","{""chuzhong"":[""在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于"",""阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素）"",""密封的（airtight）；气温（air temperature）""],""zhongkao"":[""prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于"",""n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）"",""abbr. 密封的（airtight）；气温（air temperature）""],""gaokao"":[""prep.在（几点钟）；在（某处）""]}","æt; ət","æt; ət","chuzhong | zhongkao | gaokao","economy","经济与资源 › 经济·工作·资源 › at","0.2","true"
